speech_recognition,start,end,max_confidence,mean_confidence,recognized_text
speech,1.25,2.25,0.998749852180481,0.9961472153663635,my grandma
speech,2.25,3.25,0.9999830722808838,0.9998685717582703,the over was the
speech,3.25,4.25,0.9926447868347168,0.984662652015686,the so
speech,4.25,5.25,0.9316830039024353,0.912373423576355,we dust
speech,5.25,6.25,0.9999151229858398,0.999523401260376,elderly person
speech,6.25,7.25,1.0,1.0,you could it
speech,7.25,8.25,1.0,1.0,ever meet
speech,8.25,9.25,0.9677525758743286,0.931297242641449,she was
speech,9.25,10.25,0.9509617686271667,0.9339765906333923,the getting
speech,10.25,11.25,1.0,1.0,advanced in
speech,11.25,12.25,1.0,1.0,years when she passed
speech,12.25,13.25,1.0,1.0,the way a couple of years
speech,13.25,14.25,1.0,1.0,ago but she's
speech,14.25,15.25,0.9976856708526611,0.9923723340034485,not left that
speech,15.25,16.25,1.0,1.0,hold her back
speech,16.25,17.25,0.714301347732544,0.6887473464012146,she
speech,17.25,18.25,1.0,1.0,kept doing her
speech,18.25,19.25,0.99969482421875,0.9985525608062744,favorite hobbies
speech,19.25,20.25,0.9935352802276611,0.9852783679962158,baking cookies
speech,20.25,21.25,1.0,1.0,these for the kids
speech,21.25,22.25,0.9999990463256836,0.9999191164970398,all the time
speech,22.25,23.25,1.0,0.9999997019767761,she likes making
speech,23.25,24.25,1.0,1.0,fruit roll ups
speech,24.25,25.25,1.0,1.0,so she would
speech,25.25,26.25,0.9999727010726929,0.9997668266296387,boil up
speech,26.25,27.25,1.0,1.0,and strawberries
speech,27.25,28.25,1.0,1.0,all kinds of fruit
speech,28.25,29.25,0.990483283996582,0.9719387292861938,and dry it
speech,29.25,30.25,0.9973865151405334,0.9898340106010437,roll it up
speech,30.25,31.25,1.0,1.0,and she had these delays
speech,31.25,32.25,1.0,1.0,this fruit roll ups
speech,32.25,33.25,1.0,1.0,all her grandkids
speech,33.25,34.25,1.0,1.0,that's when they came by
speech,34.25,35.25,1.0,0.9999994039535522,so the cookie
speech,35.25,36.25,1.0,1.0,was always filled
speech,36.25,37.25,0.9773780703544617,0.9399887919425964,and there was all
speech,37.25,38.25,1.0,1.0,these these delicious
speech,38.25,39.25,1.0,1.0,the fruit snacks
speech,39.25,40.25,0.9930516481399536,0.9829321503639221,the
speech,40.25,41.25,0.971413791179657,0.9572546482086182,she will
speech,41.25,42.25,0.9981735944747925,0.9942830801010132,is just
speech,42.25,43.25,1.0,1.0,the beautiful
speech,43.25,44.25,0.946549654006958,0.9176958203315735,lady see
speech,44.25,45.25,0.9999961853027344,0.9999587535858154,the even though she was
speech,45.25,46.25,1.0,1.0,vance ten year
speech,46.25,47.25,0.9985571503639221,0.9928852915763855,there's you know
speech,47.25,48.25,1.0,1.0,for a while she was
speech,48.25,49.25,1.0,1.0,dying her hair
speech,49.25,50.25,0.9314505457878113,0.9041039347648621,it black
speech,50.25,51.25,0.7131110429763794,0.6556331515312195,but then
speech,51.25,52.25,1.0,1.0,let it go away
speech,52.25,53.25,0.9999998807907104,0.999986469745636,it's an eye
speech,53.25,54.25,1.0,1.0,so we adore
speech,54.25,55.25,1.0,1.0,how sweet she
speech,55.25,56.25,1.0,1.0,with her white
speech,56.25,57.25,0.9751613736152649,0.9581819176673889,their like
speech,57.25,58.25,1.0,1.0,herself
speech,58.25,59.25,1.0,0.9999997019767761,look like
speech,59.25,60.25,1.0,1.0,she was getting old
speech,60.25,61.25,0.9410999417304993,0.9016916751861572,there
speech,61.25,62.25,0.9999957084655762,0.9999309778213501,no she was
speech,62.25,63.25,1.0,1.0,spring chicken
speech,63.25,64.25,1.0,1.0,she was eighteen
speech,64.25,65.25,0.9999904632568359,0.9997782707214355,nine when she passed
speech,65.25,66.25,1.0,0.9999994039535522,the way
speech,66.25,67.25,0.9995137453079224,0.9979485273361206,and even though she was getting
speech,67.25,68.25,1.0,1.0,on in years
speech,68.25,69.25,1.0,1.0,still played games
speech,69.25,70.25,1.0,1.0,the with us kids
speech,70.25,71.25,1.0,1.0,the time we would play
speech,71.25,72.25,1.0,1.0,card games
speech,72.25,73.25,1.0,0.9999994039535522,word games
speech,73.25,74.25,0.9820724129676819,0.9610130786895752,ems
speech,74.25,75.25,1.0,1.0,remember when i
speech,75.25,76.25,1.0,0.9999966621398926,the little
speech,76.25,77.25,1.0,1.0,lots of times the other
speech,77.25,78.25,1.0,1.0,we're adults didn't
speech,78.25,79.25,1.0,1.0,play with us
speech,79.25,80.25,0.9735590219497681,0.9594717621803284,the ads and
speech,80.25,81.25,0.9999996423721313,0.9999923706054688,they would want to play
speech,81.25,82.25,1.0,1.0,the games that the adult
speech,82.25,83.25,1.0,0.9999994039535522,table button
speech,83.25,84.25,1.0,1.0,my grandma
speech,84.25,85.25,0.9999998807907104,0.999997079372406,could always be
speech,85.25,86.25,1.0,0.9999997019767761,counted on
speech,86.25,87.25,0.9854857921600342,0.9732763171195984,two
speech,87.25,88.25,1.0,0.9999997019767761,in with the kids
speech,88.25,89.25,1.0,0.9999991059303284,play a game sheet
speech,89.25,90.25,0.9442535638809204,0.931210994720459,hot me
speech,90.25,91.25,1.0,1.0,play a lot of games
speech,91.25,92.25,0.9999998807907104,0.9999943375587463,pea knuckle
speech,92.25,93.25,1.0,1.0,my parents weren't
speech,93.25,94.25,0.9999978542327881,0.9998801946640015,patient and after to
speech,94.25,95.25,1.0,1.0,sweet pea knuckle bitch
speech,95.25,96.25,1.0,1.0,the did she was willing
speech,96.25,97.25,0.9999980926513672,0.9998560547828674,to teach me that game
speech,97.25,98.25,1.0,1.0,she also lived
speech,98.25,99.25,1.0,1.0,quilting
speech,99.25,100.25,0.9999967813491821,0.9999675750732422,often there would be
speech,100.25,101.25,1.0,1.0,quilt set up in
speech,101.25,102.25,1.0,1.0,the living room that she
speech,102.25,103.25,1.0,1.0,the working on with
speech,103.25,104.25,0.9999114274978638,0.9993376135826111,a thimble
speech,104.25,105.25,1.0,1.0,her finger
speech,105.25,106.25,0.9959635734558105,0.9784529209136963,she does
speech,106.25,107.25,1.0,0.9999935626983643,was the most
speech,107.25,108.25,0.9999986886978149,0.9999818205833435,kind soul
speech,108.25,109.25,1.0,1.0,she was very far
speech,109.25,110.25,0.9924874305725098,0.9747356176376343,fall oh
speech,110.25,111.25,1.0,1.0,is remembering
speech,111.25,112.25,1.0,1.0,present on your
speech,112.25,113.25,1.0,1.0,birthday
speech,113.25,114.25,0.9999997615814209,0.9999960064888,that christmas
speech,114.25,115.25,1.0,1.0,she loved throwing
speech,115.25,116.25,1.0,1.0,hardy's
speech,116.25,117.25,0.9773949980735779,0.9500969052314758,and making sure that
speech,117.25,118.25,1.0,1.0,people realize
speech,118.25,119.25,1.0,0.9999969601631165,she loved them
speech,119.25,120.25,0.9999996423721313,0.9999638199806213,the thing and a nice
speech,120.25,121.25,1.0,1.0,the things she would do for them
speech,121.25,122.25,1.0,1.0,okay that's
speech,122.25,123.25,0.9714946746826172,0.9555383920669556,few minutes
